GENE	Control_Day7_1	Control_Day3_1	KD_Day3_1	Control_Day0_2	KD_Day0_2	KD_Day7_2	KD_Day3_2	Control_Day7_3	Control_Day0_3	KD_Day0_3	KD_Day3_3	KD_Day0_1	Control_Day0_1	KD_Day7_1	Control_Day3_2	Control_Day7_2	Control_Day3_3	KD_Day7_3
CAPS	CAPS	9.260184	19.193649	10.864167	17.840878	5.576651	3.44212	3.312222	1.637126	39.76105155	16.423833	2.601974	32.63368	118.41672	11.782723	3.75294	2.864682	3.476171	2.164341
BAG1	BAG1	13.6541658	13.2608101	7.94522	21.564219	29.6120876	28.7051016	20.105468	9.835473	7.733977	37.047476	9.1468518	23.8881537	8.3218301	8.964677	16.267543	13.827472	8.99531449406	5.69019
PMP22	PMP22	110.796772837287	77.2417085982614	40.0128348049944	71.5095303013102	23.4389794505444	39.4091990227731	34.581314808	60.23639180742	122.850404	52.3017235	50.2917700922326	21.703711778552	75.31167979074	77.158951347	66.1051625506569	103.723296047398	72.0019850445139	47.2056410005377
IGFBP2	IGFBP2	21.6807154	3.1992747	1.0619788	59.4698151	43.9977131	6.8054017	9.8515098	0.949390495	7.7614	5.9450899	2.3272783	0.4489585	0.214363	10.028793	26.2356392	21.341753	5.9877251	0.3361764
HSD11B1	HSD11B1	16.50493	51.2708800923747	6.693631	3.7268089	0.993784	5.32378	2.9861752998	17.103296	11.177876	2.98993	33.25562	0.0522838	0.981978	14.856962662	22.051840331875	14.591415	78.41334	8.12971
FMOD	FMOD	25.45687	15.0866910379565	4.1805	2.400759	2.3902378	2.90634519	3.327041	6.98766	8.39381	6.447787	7.754384	0.795907	2.58735895056	10.52410159212	14.77710256	12.1594	14.7505354307	3.473145
NDP	NDP	1.844059	37.40383	2.97693	8.61708	3.766465	0.582944	0.900588	13.567212	12.49909	4.156769	11.71486	10.62496	21.14466	0.292211	5.043181	2.74909	33.32872	5.19826
APOL2	APOL2	43.966063	145.19253	53.587291	24.647896	11.701295	28.934031	22.9464454	53.64478781	34.370588	17.348469	266.51222	12.274991	26.4884566	42.686361	60.73165	37.227418	422.79879	50.640293
CLN6	CLN6	5.5997713	8.78923955	6.499535654	17.9926228	29.187621	19.320428	13.2227414	11.177584603215	5.355229230383	19.2536388	5.101994	18.7655108	6.88205570372375	4.1339431828416	9.1738246	7.748842	7.1489586	4.1066363
NECTIN2	NECTIN2	47.6044680642662	33.686174	29.645284	38.469788	69.127697	43.958003	92.228258	36.682837	20.49339	112.141747	36.473086	54.51434	22.116038	28.103563	85.408205	30.17148	40.035324	23.518588119757
SYT11	SYT11	6.9333	11.029	7.99615	21.0815	6.56892	6.19675	6.17458	9.65199	28.7104	17.6662	4.65245	20.2772	41.7126	8.15145	12.3123	6.71682	5.96975	9.48688
POSTN	POSTN	89.60507512	21.5000064531726	60.3312410901	96.253997149046	146.999993	101.042376008104	159.731031	25.2604807	81.93700862	126.33466820039	21.7710333031037	277.89939159242	134.7271195089	84.981444	83.4458700002489	163.340063000718	8.56739780017151	46.3035617
ITGA7	ITGA7	3.0038015	2.356913	0.8971116193516	11.983717	3.0314813	5.062038679	3.28335500029521	9.2803551	3.14741000144626	2.4690048	1.74773591015628	1.8419272002	6.3349600287429	1.2949267	10.231485	12.152458111973	3.1343305	6.48576983701096
RDH5	RDH5	11.327889	14.233056	8.70685	38.128252	21.57434	33.21424	16.19602730228	176.542942	36.479192	23.77647	22.674713	53.5554594	75.347855	10.663692463	39.10789	34.33955	94.3256840059399	119.66759
FAIM2	FAIM2	0.7209622	6.72587	3.954151	6.036396	0.674913	0.21527	0.2801778	2.840601	15.51896	7.94333	1.000733	1.469035	7.154246	1.1794791	0.763855	0.166661	2.1334513	3.060378
GLUL	GLUL	664.47077317	3290.380287	1319.332847	65.9053691	62.6443969	157.522521	160.455121	420.631635	75.3593232	115.5179134	3372.689156	195.579065	270.111301	642.005429	338.697131	151.9140629	5096.459862	316.773848
ST6GALNAC4	ST6GALNAC4	20.883692	29.803141	23.663116	98.799788	33.48158	29.812682	27.539791	32.315468	91.726794	43.580172	31.835237	24.760991	56.450634	17.540538	30.761025	34.3013	37.542542761	28.140916
ENTPD1	ENTPD1	1.635519	1.103915	0.55053	0.69347	0.626127	0.417258	0.614877	0.5974926	0.4880796	0.41215609915	5.292525	0.4263035	0.7521603	0.426789	3.23826	0.638977	9.3945213	1.5428809
GOLPH3L	GOLPH3L	11.985341	12.12357	5.746272	8.792615	3.35712	5.093794	3.694963	9.169502	14.213794	7.3069	4.584591	5.02005	16.0823	7.23719	9.150393	9.1256	7.30789	4.80868
FLG	FLG	0.305464	0.204706	0.24266	1.42454	0.624753	0.0653314	0.391693	0.0341373	1.26421	0.542867	0.0569001	0.223301	0.434711	0.124703	0.377277	0.0329082	0.0582299	0.0134356
RHOB	RHOB	18.8556	12.432	11.5034	24.1704	41.3547	17.0489	24.3325	7.84721	3.71778	12.6014	3.53867	10.5166	4.39375	17.2941	19.301	10.8203	3.80902	6.01954
PTGES	PTGES	19.02579	28.26947	6.6588	158.5171	84.18014	19.17218	8.70555	13.18797	239.1074	186.6471	6.441975	17.00747	70.87613	23.10347	31.30234	78.17626	13.705873	9.78773
TAF5	TAF5	0.938453	0.80421	0.698082	2.39939	5.42663	3.24728	2.53314	2.06733	1.01162	5.11899	1.17092	2.8751	0.61871	0.364977	1.84164	1.5433	1.82383	1.11359
AP1S3	AP1S3	2.0193973	1.3413622	0.837682	2.889785	0.747694	0.3345466	1.560411	0.1594086	1.5173578	0.3243007	1.251698	2.540958	5.56133	1.8004432	0.711852	2.0450061	0.3639984	0.8341341
HSPB8	HSPB8	10.231500275588	3.04928	3.29948971	12.540400293618	9.089475	20.602	10.967272	19.71433	22.80351	7.801863	8.731278	8.420127	18.5822	16.2829851	7.90804	20.9189249	6.63402	21.7244
RPIA	RPIA	7.74485	7.91397	6.25354	13.9406	25.4737	15.6463	12.5049	15.5257	7.02041	21.7788	10.5513	11.8231	4.87536	4.64605	8.58849	12.3081	11.4136	11.6345
TIMP4	TIMP4	24.4715	18.2993	5.58185	4.04656	1.20353	4.75685	4.24818	7.28373	11.0094	5.05263	35.6449	1.05855	5.70047	32.0346	15.4804	8.6469	66.8114	4.21712
EXTL1	EXTL1	8.632921	1.288404	1.16003	1.517107	0.438763	0.099384	4.141724	0.454274	0.794859	0.925222	0.1247134	1.019136	1.4353433	2.57491	5.116358	2.01511	0.118748	0.227695
PTGIR	PTGIR	4.8691628	4.551234	5.457258	16.249877	8.357101	29.2998447	22.75154	15.592128	6.82168379	3.409782	6.660692	0.556066	2.2818938	4.944568	22.9048	23.66543	8.986301	16.23741
IL6R	IL6R	1.294736	1.284252	1.1586025	2.5753879	9.392313	3.560474	2.232656	0.631882107	1.3802649	6.615675	0.34085902	8.020688	1.87402645	1.129697	2.077312	0.9553203	1.106669	0.4248356
EMC10	EMC10	32.795702	34.7359294096	19.805782	71.503606	58.20717	45.387908693	51.9363001	30.9046784	41.675869	38.96833	16.516869	41.3835532	28.672516	45.4206810013545	84.117496032	25.239311	44.367716	28.860171
TNFRSF11B	TNFRSF11B	722.67068	62.11235	142.38337	96.74119	226.143637	375.70906	720.54622	238.20277001382	89.31761	270.603278	58.587124	45.33794	15.291644	748.20719	504.69383	455.75259	39.359482	365.05666
SGPL1	SGPL1	13.0801773	10.218261	19.806885	8.04489	28.895738	15.6195693	30.435248	9.713348	15.28814	37.1872614	13.5192	25.8119968	8.041411	15.8675	17.3193	11.121172	9.85246	9.66117
CERCAM	CERCAM	178.920686	195.509749	119.632534	320.921696	200.026751	87.726874	175.60351	148.486377	381.984095	187.791847	110.86897807	66.927459	143.824688	110.026101	338.188562	270.637712	251.649085	101.973825
IGFBP6	IGFBP6	250.59983	576.30889	130.268028	1687.69345	891.61979	94.30719	183.406173	142.446287	2138.99024	1126.89881	302.950801	369.21398	943.8505	292.103262	487.92397	241.99252	620.43748	95.74926
XXYLT1	XXYLT1	4.897268	3.352906	3.372861	8.339803	13.845038	4.288935	6.600697	3.713664	4.320734	19.727545	3.381255	6.763535	2.605473	3.378476	5.732918	3.91423	4.148283	2.597183
MBLAC2	MBLAC2	1.775854	1.9116301	1.4192569	3.389618	1.861952	2.235405	1.771194	2.442001	4.268181	1.274749	1.898943	1.349921	4.401374	1.513631	2.177763	2.725543	2.159817	1.5605281
AHNAK2	AHNAK2	17.126464	17.28473	11.339399	16.26955	9.982605	1.109226	2.386269	0.5558174	9.5093931	4.301336	0.32895739131	49.55544	112.32199	20.306982	2.8369991	1.600751	0.2657792	1.0578297
PRELP	PRELP	20.8317	2.88612	0.578897	1.37132	0.640496	0.440649	0.274207	0.737955	36.7477	22.1077	1.54223	4.30566	13.8164	10.5946	0.42909	0.735782	3.32809	0.667683
MMP1	MMP1	19.0578738	31.202461184	2.2622233	4.3020658986	2.02780332	22.63032135	9.33438268	251.5309177	16.338748935	10.8928750005621	20.1529676022717	41.3765113	114.85822935	2.82998028	64.094948747	70.5843413	64.69994996	94.0659932
STMN3	STMN3	3.92968	3.31709	10.558593	4.312385	16.677287	3.86109	7.672646	2.99746	9.859892	13.894413	5.932866	39.132175	9.520175	4.85364	2.15246697	1.3385591	2.698279	7.7845
NMB	NMB	5.44295	9.13651	2.629403	128.0649	40.24667	7.44459	6.26394	10.78392	140.4601	50.9157	4.37951	8.67399	20.18932	4.522209	20.01929	11.90509	9.60113	10.06007
CFI	CFI	5.558539	9.317967	6.4967187	10.02303	12.042431	0.490409	3.3871649	2.338397	16.3600622	19.363234	5.028387	5.3429474	4.794023	1.361218	6.6308360534902	3.10492	5.400868	0.733736853
CRIP1	CRIP1	4.877976	4.539611	3.9247626277	66.223318	36.2571123	24.69581180597	17.851363	8.14079099007	87.94249	26.871052	3.65617	6.3106178	19.692351	19.1063812	33.58455	39.959543	4.809799	7.108656
ENSG00000236255	ENSG00000236255	10.428666	16.234404	21.870616	61.580928	10.272155	129.626457	24.75659	14.885718	15.947149	26.719088	11.827642	14.1644383	31.639666	18.064779	16.036586	28.427922	12.749175	77.321229
ENSG00000280614	ENSG00000280614	625.74	779.373	580.113	1096.49	571.697	681.709	626.862	664.801	382.141	168.783	294.683	663.242	1396.3	762.575	477.723	1240.84	249.888	607.71
ENSG00000280800	ENSG00000280800	625.74	779.373	580.113	1096.49	571.697	681.709	626.862	664.801	382.141	168.783	294.683	663.242	1396.3	762.575	477.723	1240.84	249.888	607.71
ENSG00000281181	ENSG00000281181	625.74	779.373	580.113	1096.49	571.697	681.709	626.862	664.801	382.141	168.783	294.683	663.242	1396.3	762.575	477.723	1240.84	249.888	607.71
ENSG00000288254	ENSG00000288254	625.74	779.373	580.113	1096.49	571.697	681.709	626.862	664.801	382.141	168.783	294.683	663.242	1396.3	762.575	477.723	1240.84	249.888	607.71
ENSG00000288444	ENSG00000288444	625.74	779.373	580.113	1096.49	571.697	681.709	626.862	664.801	382.141	168.783	294.683	663.242	1396.3	762.575	477.723	1240.84	249.888	607.71
