ENSG	ENTREZID	GENETYPE	SYMBOL	GENENAME	log2FoldChange	V	classification	specific.factor
17	ENSG00000002330	572	protein-coding	BAD	BCL2 associated agonist of cell death	-0.0926860162059722	0.0378542928511632	basal	NA
18	ENSG00000002549	51056	protein-coding	LAP3	leucine aminopeptidase 3	0.256950751640101	0.00775029605890668	basal	NA
19	ENSG00000002586	4267	protein-coding	CD99	CD99 molecule (Xg blood group)	-0.0469148857829196	0.0520514493203291	basal	NA
20	ENSG00000002745	51384	protein-coding	WNT16	Wnt family member 16	-0.471416598939963	0.204335872762971	basal	NA
21	ENSG00000002746	23072	protein-coding	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	0.294536190309657	0.0753009799942364	basal	NA
22	ENSG00000002822	8379	protein-coding	MAD1L1	mitotic arrest deficient 1 like 1	-0.395611942214112	0.202699943026176	basal	NA
23	ENSG00000002834	3927	protein-coding	LASP1	LIM and SH3 protein 1	0.0149654322170999	0.00135892323587727	basal	NA
24	ENSG00000002919	29916	protein-coding	SNX11	sorting nexin 11	-0.0168275940926558	0.00377407971138171	basal	NA
25	ENSG00000003056	4074	protein-coding	M6PR	mannose-6-phosphate receptor, cation dependent	0.107740965018349	0.0165802649020624	basal	NA
26	ENSG00000003096	90293	protein-coding	KLHL13	kelch like family member 13	-0.27911406753049	0.0408388584548581	basal	NA
27	ENSG00000003137	56603	protein-coding	CYP26B1	cytochrome P450 family 26 subfamily B member 1	-1.81039667060658	1.2799203233499	sparse	NA
28	ENSG00000003147	3382	protein-coding	ICA1	islet cell autoantigen 1	0.0843854963164131	0.0245543528736992	basal	NA
29	ENSG00000003249	79007	protein-coding	DBNDD1	dysbindin domain containing 1	-0.804914977245028	0.0213361871588224	basal	NA
30	ENSG00000003393	57679	protein-coding	ALS2	alsin Rho guanine nucleotide exchange factor ALS2	0.33712015345881	0.132652997889547	basal	NA
31	ENSG00000003400	843	protein-coding	CASP10	caspase 10	0.0575792538066429	0.134722697021677	basal	NA
32	ENSG00000003402	8837	protein-coding	CFLAR	CASP8 and FADD like apoptosis regulator	0.465241068205604	0.232819464039817	basal	NA
33	ENSG00000003436	7035	protein-coding	TFPI	tissue factor pathway inhibitor	0.0991153065622583	0.0552595980858944	basal	NA
34	ENSG00000003509	55471	protein-coding	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7	0.0837822400833154	0.0318530550156739	basal	NA
35	ENSG00000003756	10181	protein-coding	RBM5	RNA binding motif protein 5	0.107072475928321	0.0327866912095837	basal	NA
36	ENSG00000003987	9108	protein-coding	MTMR7	myotubularin related protein 7	-0.0751997083432326	0.0246546503033361	basal	NA
37	ENSG00000004059	381	protein-coding	ARF5	ADP ribosylation factor 5	0.118140730451703	0.0113656407098808	basal	NA
38	ENSG00000004139	23098	protein-coding	SARM1	sterile alpha and TIR motif containing 1	-0.0465549684265925	0.0141238254460359	basal	NA
39	ENSG00000004142	26073	protein-coding	POLDIP2	DNA polymerase delta interacting protein 2	0.0736822838227845	0.0116595346596601	basal	NA
40	ENSG00000004399	23129	protein-coding	PLXND1	plexin D1	0.194147312954879	0.0684261350715334	basal	NA
41	ENSG00000004455	204	protein-coding	AK2	adenylate kinase 2	-0.12995294776519	0.0126306413276089	basal	NA
42	ENSG00000004478	2288	protein-coding	FKBP4	FKBP prolyl isomerase 4	-0.0743088907769487	0.0208176370156131	basal	NA
43	ENSG00000004487	23028	protein-coding	KDM1A	lysine demethylase 1A	-0.0937916102348632	0.0145442264962148	basal	NA
44	ENSG00000004534	10180	protein-coding	RBM6	RNA binding motif protein 6	-0.0406004098383437	0.0156566267150315	basal	NA
45	ENSG00000004660	84254	protein-coding	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1	-0.0684774901629118	0.00801990564690392	basal	NA
46	ENSG00000004700	5965	protein-coding	RECQL	RecQ like helicase	0.292782450483981	0.0922682176295708	basal	NA
47	ENSG00000004766	55610	protein-coding	VPS50	VPS50 subunit of EARP/GARPII complex	0.332220225314966	0.0556332692142726	basal	NA
48	ENSG00000004776	126393	protein-coding	HSPB6	heat shock protein family B (small) member 6	-0.197266386681863	0.0834170884636052	basal	NA
49	ENSG00000004779	4706	protein-coding	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1	0.151391737674165	0.0546667573677024	basal	NA
50	ENSG00000004799	5166	protein-coding	PDK4	pyruvate dehydrogenase kinase 4	0.491953129384372	0.28864203637511	basal	NA
51	ENSG00000004864	10165	protein-coding	SLC25A13	solute carrier family 25 member 13	0.126728396823868	0.037757510479731	basal	NA
52	ENSG00000004866	93655	ncRNA	ST7-OT3	ST7 overlapping transcript 3	-0.0501043305290869	0.0141108453853201	basal	NA
53	ENSG00000004897	996	protein-coding	CDC27	cell division cycle 27	-0.00089770200929157	0.020920979303898	basal	NA
54	ENSG00000004939	6521	protein-coding	SLC4A1	solute carrier family 4 member 1 (Diego blood group)	0.0310030523826241	0.0104163688705301	basal	NA
55	ENSG00000004961	3052	protein-coding	HCCS	holocytochrome c synthase	-0.0611144484221931	0.00919391037628304	basal	NA
56	ENSG00000004975	1856	protein-coding	DVL2	dishevelled segment polarity protein 2	0.0274023019914326	0.0503451982310571	basal	NA
57	ENSG00000005007	5976	protein-coding	UPF1	UPF1 RNA helicase and ATPase	-0.0526918657349831	0.0103506303131505	basal	NA
58	ENSG00000005020	8935	protein-coding	SKAP2	src kinase associated phosphoprotein 2	0.062307122769296	0.0154126188615577	basal	NA
59	ENSG00000005022	292	protein-coding	SLC25A5	solute carrier family 25 member 5	-0.0483146077947404	0.0185387660753765	basal	NA
60	ENSG00000005059	55013	protein-coding	MCUB	mitochondrial calcium uniporter dominant negative subunit beta	-0.085298512858964	0.0284310176584184	basal	NA
61	ENSG00000005073	3207	protein-coding	HOXA11	homeobox A11	-0.0755694776505963	0.0222648952282519	basal	NA
62	ENSG00000005075	5439	protein-coding	POLR2J	RNA polymerase II subunit J	-0.00561029926733905	0.00619515644814242	basal	NA
63	ENSG00000005100	56919	protein-coding	DHX33	DEAH-box helicase 33	0.203315855653743	0.0644282490217147	basal	NA
64	ENSG00000005108	221981	protein-coding	THSD7A	thrombospondin type 1 domain containing 7A	-0.0233382208588495	0.177350111404909	basal	NA
65	ENSG00000005156	3980	protein-coding	LIG3	DNA ligase 3	0.103667637018115	0.0840824948465623	basal	NA
66	ENSG00000005175	79657	protein-coding	RPAP3	RNA polymerase II associated protein 3	0.197900324604167	0.0704994873805123	basal	NA
67	ENSG00000005187	6296	protein-coding	ACSM3	acyl-CoA synthetase medium chain family member 3	0.0353860202010142	0.0112391493981489	basal	NA
68	ENSG00000005189	81691	protein-coding	REXO5	RNA exonuclease 5	-0.0742563370132955	0.0209252017520058	basal	NA
69	ENSG00000005194	57019	protein-coding	CIAPIN1	cytokine induced apoptosis inhibitor 1	0.12030954841671	0.0503260658604429	basal	NA
70	ENSG00000005206	56928	protein-coding	SPPL2B	signal peptide peptidase like 2B	-0.429392327373581	0.145461379379491	basal	NA
71	ENSG00000005238	80256	protein-coding	ATOSB	atos homolog B	-0.784311081336242	0.220909010690444	basal	NA
72	ENSG00000005243	51226	protein-coding	COPZ2	COPI coat complex subunit zeta 2	-0.0945501747756023	0.0317172347607718	basal	NA
73	ENSG00000005249	5577	protein-coding	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta	-1.74025915971246	0.65643767198923	similar	NA
74	ENSG00000005302	10943	protein-coding	MSL3	MSL complex subunit 3	0.25424404474616	0.0735133649402072	basal	NA
75	ENSG00000005339	1387	protein-coding	CREBBP	CREB binding protein	-0.0810558350366441	0.0504485465206988	basal	NA
76	ENSG00000005436	6936	protein-coding	GCFC2	GC-rich sequence DNA-binding factor 2	0.40094430543485	0.104698592552234	basal	NA
77	ENSG00000005448	84058	protein-coding	WDR54	WD repeat domain 54	0.0526877491587446	0.0362244473469329	basal	NA
78	ENSG00000005469	54677	protein-coding	CROT	carnitine O-octanoyltransferase	0.0951627418774599	0.0239559992777275	basal	NA
79	ENSG00000005483	55904	protein-coding	KMT2E	lysine methyltransferase 2E (inactive)	0.124364554678892	0.0379961840678219	basal	NA
80	ENSG00000005486	57414	protein-coding	RHBDD2	rhomboid domain containing 2	-0.106467548055481	0.0472038810279385	basal	NA
81	ENSG00000005700	25998	protein-coding	IBTK	inhibitor of Bruton tyrosine kinase	-0.17210229326535	0.0446118396316534	basal	NA
82	ENSG00000005801	7748	protein-coding	ZNF195	zinc finger protein 195	0.312557245399012	0.101234394867717	basal	NA
83	ENSG00000005810	23077	protein-coding	MYCBP2	MYC binding protein 2	0.112713446785816	0.0132896053233044	basal	NA
84	ENSG00000005812	26224	protein-coding	FBXL3	F-box and leucine rich repeat protein 3	0.0166107732717363	0.0875267593212476	basal	NA
85	ENSG00000005882	5164	protein-coding	PDK2	pyruvate dehydrogenase kinase 2	-0.0327411172949828	0.00494156221583642	basal	NA
86	ENSG00000005884	3675	protein-coding	ITGA3	integrin subunit alpha 3	-0.0978295094996646	0.0335905373881925	basal	NA
87	ENSG00000005889	7543	protein-coding	ZFX	zinc finger protein X-linked	0.0783237816659723	0.0195285586649144	basal	NA
88	ENSG00000005893	3920	protein-coding	LAMP2	lysosomal associated membrane protein 2	0.12887143606296	0.082804110414144	basal	NA
89	ENSG00000006007	51573	protein-coding	GDE1	glycerophosphodiester phosphodiesterase 1	0.0750626863045738	0.0143029942391162	basal	NA
90	ENSG00000006015	55049	protein-coding	REX1BD	required for excision 1-B domain containing	0.11308712931378	0.057950885660637	basal	NA
91	ENSG00000006025	114881	protein-coding	OSBPL7	oxysterol binding protein like 7	-0.162594567359236	0.0360226829886531	basal	NA
92	ENSG00000006042	26022	protein-coding	TMEM98	transmembrane protein 98	0.038218519295678	0.0132447809783635	basal	NA
93	ENSG00000006118	54972	protein-coding	TMEM132A	transmembrane protein 132A	-1.14379001216634	0.163994187906075	similar	NA
94	ENSG00000006125	163	protein-coding	AP2B1	adaptor related protein complex 2 subunit beta 1	0.0639926902487665	0.0224110168884643	basal	NA
95	ENSG00000006194	10127	protein-coding	ZNF263	zinc finger protein 263	-0.0412403461188389	0.0116861909343066	basal	NA
96	ENSG00000006282	64847	protein-coding	SPATA20	spermatogenesis associated 20	-0.0859276639002481	0.0206618571754435	basal	NA
97	ENSG00000006327	51330	protein-coding	TNFRSF12A	TNF receptor superfamily member 12A	-0.171751217116125	0.282937224506515	basal	NA
98	ENSG00000006377	1750	protein-coding	DLX6	distal-less homeobox 6	0.143713481959679	0.00698421134833543	basal	NA
99	ENSG00000006451	5898	protein-coding	RALA	RAS like proto-oncogene A	-0.0736392296975852	0.0234031093298306	basal	NA
100	ENSG00000006453	55971	protein-coding	BAIAP2L1	BAR/IMD domain containing adaptor protein 2 like 1	-0.386085352580227	0.166181603322152	basal	NA
101	ENSG00000006459	80853	protein-coding	KDM7A	lysine demethylase 7A	-0.370721693339106	0.160172245223337	basal	NA
102	ENSG00000006468	2115	protein-coding	ETV1	ETS variant transcription factor 1	1.79634795805787	0.491472679793526	similar	NA
103	ENSG00000006530	55750	protein-coding	AGK	acylglycerol kinase	0.0918520266072874	0.0470172624460795	basal	NA
104	ENSG00000006534	221	protein-coding	ALDH3B1	aldehyde dehydrogenase 3 family member B1	-0.1814220430516	0.0459918392637089	basal	NA
105	ENSG00000006576	57157	protein-coding	PHTF2	putative homeodomain transcription factor 2	-0.375738933646758	0.0725976487452299	basal	NA
106	ENSG00000006606	10344	protein-coding	CCL26	C-C motif chemokine ligand 26	0.0943680522940581	0.106808559457268	basal	NA
107	ENSG00000006607	9855	protein-coding	FARP2	FERM, ARH/RhoGEF and pleckstrin domain protein 2	-0.0676457773852041	0.0565069263115474	basal	NA
108	ENSG00000006625	79017	protein-coding	GGCT	gamma-glutamylcyclotransferase	-0.411825715332362	0.140623809730378	basal	NA
109	ENSG00000006634	10926	protein-coding	DBF4	DBF4 zinc finger	-0.0359009475669739	0.0104344021874831	basal	NA
110	ENSG00000006638	6915	protein-coding	TBXA2R	thromboxane A2 receptor	-0.0507007376056612	0.00501301480146381	basal	NA
111	ENSG00000006652	3475	protein-coding	IFRD1	interferon related developmental regulator 1	-0.136023455565404	0.0408183608296944	basal	NA
112	ENSG00000006695	1352	protein-coding	COX10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10	0.0151286016504409	0.00624754518196623	basal	NA
113	ENSG00000006704	9569	protein-coding	GTF2IRD1	GTF2I repeat domain containing 1	-0.409730743753669	0.0990670172843221	basal	NA
114	ENSG00000006712	54623	protein-coding	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component	-0.132475982887321	0.04436871546063	basal	NA
115	ENSG00000006715	27072	protein-coding	VPS41	VPS41 subunit of HOPS complex	0.132928786372152	0.0438531212688633	basal	NA
116	ENSG00000006740	9912	protein-coding	ARHGAP44	Rho GTPase activating protein 44	-1.27363864309296	0.795095476896809	similar	NA
117	ENSG00000006744	60528	protein-coding	ELAC2	elaC ribonuclease Z 2	0.148446806907346	0.0615211130097983	basal	NA
118	ENSG00000006747	85477	protein-coding	SCIN	scinderin	-3.98059474260717	0.452711452332754	similar	NA
119	ENSG00000006756	414	protein-coding	ARSD	arylsulfatase D	0.0324625445877049	0.0882098565716101	basal	NA
120	ENSG00000006757	8228	protein-coding	PNPLA4	patatin like phospholipase domain containing 4	0.0269679767248465	0.0703047383314446	basal	NA
121	ENSG00000006831	79602	protein-coding	ADIPOR2	adiponectin receptor 2	-0.00851246491831007	0.00479358745225579	basal	NA
122	ENSG00000006837	51265	protein-coding	CDKL3	cyclin dependent kinase like 3	0.0390526381199834	0.0103328906787687	basal	NA
123	ENSG00000007047	57787	protein-coding	MARK4	microtubule affinity regulating kinase 4	-0.0592989297690122	0.0211477706024644	basal	NA
124	ENSG00000007080	115098	protein-coding	CCDC124	coiled-coil domain containing 124	-0.101946201618974	0.0242214098293756	basal	NA
125	ENSG00000007168	5048	protein-coding	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1	0.00361100330606553	0.0268680252830268	basal	NA
126	ENSG00000007202	9703	protein-coding	BLTP2	bridge-like lipid transfer protein family member 2	0.0711844905133171	0.0819027674195964	basal	NA
127	ENSG00000007237	8522	protein-coding	GAS7	growth arrest specific 7	-0.120619967438545	0.0546195260592929	basal	NA
128	ENSG00000007255	79090	protein-coding	TRAPPC6A	trafficking protein particle complex subunit 6A	0.236063140011115	0.0839901909452051	basal	NA
129	ENSG00000007341	54879	protein-coding	ST7L	suppression of tumorigenicity 7 like	0.0684571756467503	0.0175051723206444	basal	NA
130	ENSG00000007376	113000	protein-coding	RPUSD1	RNA pseudouridine synthase domain containing 1	0.0221082891625778	0.0765472673367844	basal	NA
131	ENSG00000007384	64285	protein-coding	RHBDF1	rhomboid 5 homolog 1	-0.0824568328498729	0.0648386587135488	basal	NA
132	ENSG00000007392	55692	protein-coding	LUC7L	LUC7 like	0.0450197544831809	0.00550295462040918	basal	NA
133	ENSG00000007520	115939	protein-coding	TSR3	TSR3 ribosome maturation factor	-0.073757039273429	0.020699557010139	basal	NA
134	ENSG00000007541	9091	protein-coding	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q	-0.0274265187613775	0.0250654249732496	basal	NA
135	ENSG00000007545	57585	protein-coding	CRAMP1	cramped chromatin regulator homolog 1	-0.0450641492891107	0.0314419371250824	basal	NA
136	ENSG00000007866	7005	protein-coding	TEAD3	TEA domain transcription factor 3	0.020296433829862	0.00180270514484738	basal	NA
137	ENSG00000007923	55735	protein-coding	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11	0.0188625735188114	0.00597127788576759	basal	NA
138	ENSG00000007933	2328	protein-coding	FMO3	flavin containing dimethylaniline monoxygenase 3	-0.106663894076525	0.0294018732137657	basal	NA
139	ENSG00000007944	29116	protein-coding	MYLIP	myosin regulatory light chain interacting protein	0.217880677043252	0.100131103060201	basal	NA
140	ENSG00000008018	5689	protein-coding	PSMB1	proteasome 20S subunit beta 1	0.117761066551336	0.0321152491206181	basal	NA
141	ENSG00000008083	3720	protein-coding	JARID2	jumonji and AT-rich interaction domain containing 2	-0.605615233723809	0.305364736608561	basal	NA
142	ENSG00000008086	6792	protein-coding	CDKL5	cyclin dependent kinase like 5	-0.0554854853338175	0.00484438652486994	basal	NA
143	ENSG00000008128	728642	protein-coding	CDK11A	cyclin dependent kinase 11A	-0.044207182589173	0.0119820393841453	basal	NA
144	ENSG00000008130	65220	protein-coding	NADK	NAD kinase	0.12041685920931	0.0415528349259612	basal	NA
145	ENSG00000008226	9940	protein-coding	DLEC1	DLEC1 cilia and flagella associated protein	-0.0259580472494116	0.0205807645812179	basal	NA
146	ENSG00000008256	9265	protein-coding	CYTH3	cytohesin 3	0.206967204132102	0.0641193007424929	basal	NA
147	ENSG00000008277	53616	protein-coding	ADAM22	ADAM metallopeptidase domain 22	-0.807077397203304	0.590832414511813	basal	NA
148	ENSG00000008282	6856	protein-coding	SYPL1	synaptophysin like 1	0.129923732211802	0.0156126836517249	basal	NA
149	ENSG00000008283	1534	protein-coding	CYB561	cytochrome b561	-0.0724651848130675	0.0134329610674302	basal	NA
150	ENSG00000008294	9043	protein-coding	SPAG9	sperm associated antigen 9	-0.65439287060359	0.0906580718341099	basal	NA
151	ENSG00000008311	10157	protein-coding	AASS	aminoadipate-semialdehyde synthase	0.301833169432338	0.0443622454534837	basal	NA
152	ENSG00000008324	51188	protein-coding	SS18L2	SS18 like 2	0.131627952924967	0.0317026535200012	basal	NA
153	ENSG00000008394	4257	protein-coding	MGST1	microsomal glutathione S-transferase 1	-0.20800941468865	0.0445795158741937	basal	NA
154	ENSG00000008405	1407	protein-coding	CRY1	cryptochrome circadian regulator 1	-0.245618675414608	0.204721544393238	basal	NA
155	ENSG00000008441	4784	protein-coding	NFIX	nuclear factor I X	0.0187832221703552	0.00298024488235997	basal	NA
156	ENSG00000008513	6482	protein-coding	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	-0.727759659364641	0.0915720723986967	basal	NA
157	ENSG00000008517	9235	protein-coding	IL32	interleukin 32	-0.250622300787751	0.0790713558169797	basal	NA
158	ENSG00000008710	5310	protein-coding	PKD1	polycystin 1, transient receptor potential channel interacting	-0.521983533026184	0.235210145867633	basal	NA
159	ENSG00000008838	9862	protein-coding	MED24	mediator complex subunit 24	-0.125005988996806	0.0782029522192906	basal	NA
160	ENSG00000008853	23221	protein-coding	RHOBTB2	Rho related BTB domain containing 2	-0.0545586552216403	0.0138871458175999	basal	NA
161	ENSG00000008869	54497	protein-coding	HEATR5B	HEAT repeat containing 5B	0.1399159235193	0.0057857949849457	basal	NA
162	ENSG00000008952	7095	protein-coding	SEC62	SEC62 homolog, preprotein translocation factor	0.0462300178700105	0.0137785690526268	basal	NA
163	ENSG00000008988	6224	protein-coding	RPS20	ribosomal protein S20	0.0641564201803364	0.0159165181060406	basal	NA
164	ENSG00000009307	7812	protein-coding	CSDE1	cold shock domain containing E1	0.103963030451791	0.0250489103650265	basal	NA
165	ENSG00000009335	9690	protein-coding	UBE3C	ubiquitin protein ligase E3C	-0.194666158213283	0.0495851786895343	basal	NA
166	ENSG00000009413	5980	protein-coding	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit	0.0326602686352376	0.0701015703341677	basal	NA
167	ENSG00000009780	199870	protein-coding	FAM76A	family with sequence similarity 76 member A	0.0691365886487209	0.0134412179696409	basal	NA
168	ENSG00000009830	29954	protein-coding	POMT2	protein O-mannosyltransferase 2	-0.118416262908339	0.0124886469130322	basal	NA
169	ENSG00000009844	51534	protein-coding	VTA1	vesicle trafficking 1	-0.0427138266565771	0.0177649269873574	basal	NA
170	ENSG00000009954	9031	protein-coding	BAZ1B	bromodomain adjacent to zinc finger domain 1B	-0.0761265827205421	0.0272661905462074	basal	NA
171	ENSG00000010017	10048	protein-coding	RANBP9	RAN binding protein 9	-0.256176793669113	0.128970420226597	basal	NA
172	ENSG00000010072	83932	protein-coding	SPRTN	SprT-like N-terminal domain	0.0663223724835087	0.0218449263073141	basal	NA
173	ENSG00000010165	51603	protein-coding	METTL13	methyltransferase 13, eEF1A lysine and N-terminal methyltransferase	0.124402996002563	0.0259820912205184	basal	NA
174	ENSG00000010219	8798	protein-coding	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4	-0.0170331237127016	0.132290684630738	basal	NA
175	ENSG00000010244	7756	protein-coding	ZNF207	zinc finger protein 207	-0.0619123626471077	0.0738036370804148	basal	NA
176	ENSG00000010256	7384	protein-coding	UQCRC1	ubiquinol-cytochrome c reductase core protein 1	-0.0460487481848531	0.0311698183794396	basal	NA
177	ENSG00000010270	83930	protein-coding	STARD3NL	STARD3 N-terminal like	0.0831790122828171	0.0132073567653946	basal	NA
178	ENSG00000010278	928	protein-coding	CD9	CD9 molecule	-0.446605133553521	0.256278048113185	basal	NA
179	ENSG00000010292	9918	protein-coding	NCAPD2	non-SMC condensin I complex subunit D2	0.0769420884280027	0.0103501806862953	basal	NA
180	ENSG00000010295	25900	protein-coding	IFFO1	intermediate filament family orphan 1	-0.0692961815493565	0.0709006343798748	basal	NA
181	ENSG00000010310	2696	protein-coding	GIPR	gastric inhibitory polypeptide receptor	-0.692938559568842	0.360733580097406	basal	NA
182	ENSG00000010318	51533	protein-coding	PHF7	PHD finger protein 7	0.0272017008142609	0.00286243690838863	basal	NA
183	ENSG00000010322	11188	protein-coding	NISCH	nischarin	-0.0485039149687318	0.0193628164132739	basal	NA
184	ENSG00000010327	23166	protein-coding	STAB1	stabilin 1	0.0120348721521934	0.0249256528278696	basal	NA
185	ENSG00000010361	80199	protein-coding	FUZ	fuzzy planar cell polarity protein	0.00428623405922745	0.0513778304933624	basal	NA
186	ENSG00000010404	3423	protein-coding	IDS	iduronate 2-sulfatase	-0.096592053882889	0.0446931786795698	basal	NA
187	ENSG00000010539	7752	protein-coding	ZNF200	zinc finger protein 200	0.0877315298334188	0.00465915590355777	basal	NA
188	ENSG00000010610	920	protein-coding	CD4	CD4 molecule	-0.153666934667353	0.0382927358511891	basal	NA
189	ENSG00000010626	10233	protein-coding	LRRC23	leucine rich repeat containing 23	0.0534091450003203	0.0126107220681124	basal	NA
190	ENSG00000010704	3077	protein-coding	HFE	homeostatic iron regulator	0.0726455358904226	0.0248864820185312	basal	NA
191	ENSG00000010803	22955	protein-coding	SCMH1	Scm polycomb group protein homolog 1	0.155069415939621	0.0416108833449847	basal	NA
192	ENSG00000010810	2534	protein-coding	FYN	FYN proto-oncogene, Src family tyrosine kinase	-0.162512357136149	0.0779417508707509	basal	NA
193	ENSG00000010818	3097	protein-coding	HIVEP2	HIVEP zinc finger 2	-0.279403327420063	0.11043152732066	basal	NA
194	ENSG00000011007	6924	protein-coding	ELOA	elongin A	0.117418535848079	0.0813962526940372	basal	NA
195	ENSG00000011009	11313	protein-coding	LYPLA2	lysophospholipase 2	0.0423868218385777	0.0446747113034151	basal	NA
196	ENSG00000011021	1185	protein-coding	CLCN6	chloride voltage-gated channel 6	-0.0425554196335066	0.0271365248745933	basal	NA
197	ENSG00000011028	9902	protein-coding	MRC2	mannose receptor C type 2	-0.121417784432633	0.0316339001935862	basal	NA
198	ENSG00000011052	654364	protein-coding	NME1-NME2	NME1-NME2 readthrough	0.0624957888040698	0.101744453449398	basal	NA
199	ENSG00000011105	10867	protein-coding	TSPAN9	tetraspanin 9	-0.0509042654602422	0.0148053680064102	basal	NA
200	ENSG00000011114	55727	protein-coding	BTBD7	BTB domain containing 7	0.0332489358359616	0.00432232985829668	basal	NA
201	ENSG00000011132	9546	protein-coding	APBA3	amyloid beta precursor protein binding family A member 3	-0.252713664638242	0.100924940590864	basal	NA
202	ENSG00000011143	54903	protein-coding	MKS1	MKS transition zone complex subunit 1	0.214922436713971	0.0593575628944253	basal	NA
203	ENSG00000011198	51099	protein-coding	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	-0.00322249511376244	0.0271978833436323	basal	NA
204	ENSG00000011243	26993	protein-coding	AKAP8L	A-kinase anchoring protein 8 like	0.0985423531911918	0.0396599893636666	basal	NA
205	ENSG00000011258	54799	protein-coding	MBTD1	mbt domain containing 1	-0.0307891371047221	0.071379674344395	basal	NA
206	ENSG00000011260	51096	protein-coding	UTP18	UTP18 small subunit processome component	0.104881641758918	0.0361976040705969	basal	NA
207	ENSG00000011275	54476	protein-coding	RNF216	ring finger protein 216	-0.0870210163017067	0.0218466036860429	basal	NA
208	ENSG00000011295	54902	protein-coding	TTC19	tetratricopeptide repeat domain 19	0.00686776638447828	0.0267686213001902	basal	NA
209	ENSG00000011304	5725	protein-coding	PTBP1	polypyrimidine tract binding protein 1	-0.18736022057251	0.0502316975888958	basal	NA
210	ENSG00000011347	9066	protein-coding	SYT7	synaptotagmin 7	-0.170228405021763	0.0436058449827291	basal	NA
211	ENSG00000011376	23395	protein-coding	LARS2	leucyl-tRNA synthetase 2, mitochondrial	-0.0208289753433391	0.102169797986244	basal	NA
212	ENSG00000011405	5286	protein-coding	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	-0.00831922366691076	0.0535843304738251	basal	NA
213	ENSG00000011422	5329	protein-coding	PLAUR	plasminogen activator, urokinase receptor	-0.59164993659233	0.147039691579342	basal	NA
214	ENSG00000011426	54443	protein-coding	ANLN	anillin, actin binding protein	-0.0274435231500948	0.0210652685861807	basal	NA
215	ENSG00000011451	58525	protein-coding	WIZ	WIZ zinc finger	-0.220156351518509	0.0554312779216589	basal	NA
