GENE	Day0_KD_1	Day3_KD_1	Day0_Control_1	Day7_KD_2	Day3_KD_2	Day3_KD_3	Day0_Control_3	Day3_Control_3	Day0_KD_3	Day3_Control_2	Day7_Control_2	Day7_KD_3	Day7_Control_3	Day0_Control_2	Day7_KD_1	Day7_Control_1	Day0_KD_2	Day3_Control_1
BDKRB1	BDKRB1	52.881213	3.662003	35.247899	0.799864	5.499541	7.02329458	40.302466	29.544945	45.90582	32.0604868	1.352577	0.86661300646673	8.209726	87.978857	1.810094	3.396667	17.33070369796	19.2878761
KLF5	KLF5	5.940566	1.595689	1.805291	0.847455	0.588586	1.923445	1.656665	10.526341	3.725972	8.26596	9.974076	3.409066	8.957805	2.581165	0.693187	5.683394	2.607567	2.5924304
FLT1	FLT1	0.4831083	0.4820612	0.6825284	0.149708	0.4576044	0.341453	0.651291	0.979349	0.6068746	11.07395	2.3504703	0.242611	1.1310092	0.5480585	0.2627069	0.6706036	0.449241	0.5000667
SLC7A5	SLC7A5	1.385449	1.125856	1.312943	2.338434	0.372228	1.72588	5.404611	13.62399	1.89529	18.836372	17.43169	5.160081	16.996778	3.83664	0.9922671	15.02323	0.5327008	4.401537
XYLT1	XYLT1	1.2914895	1.0817495	1.30582	1.8352385	0.897595	1.017898	2.6671785	3.8275925	1.025155	3.5744975	11.5204385	2.863301	9.7634325	1.212525	1.170292	6.752695	0.9008445	2.2697175
CA2	CA2	0	10.68051	0.58246707	198.99929	41.875975	4.64098	2.014351	3.26976	3.3484	10.98737	117.8135	17.94794	13.383764	14.859569	9.48625	66.8727	0.029578	22.647219
TRPV4	TRPV4	0.356741548162	0.478992675868	0.9878437816898	1.09589	0.116251832	1.248244628	0.66657213150309	3.46777770825157	0.821843311132	6.324278	16.954479	3.9893170355709	12.95711561	1.661587906563	0.620371529	12.00633090253	0.1064767086867	2.42857200026919
PDE10A	PDE10A	1.567817047506	0.7226325614865	1.420755132567	0.0540536	0.2855214193477	0.4858539	2.24864	2.45110890074137	2.81414010148429	2.253650514521	1.12349959103	0.1647287533	1.554355353558	4.48056664765418	0.491250664235851	6.3012449	0.4602829	0.778210383337
C7	C7	0.889893	0.72621301	2.548357	4.824005	2.7153252	0.898068	0.2063637	0.11173598	0.280602	0.1226964	0.0109677	2.225831	0.717868	0.141548	12.912803	1.141815	1.1745391	1.259646
CCL20	CCL20	0.970042	112.24443	1.491348691	3.3725237795	75.00628	106.285629	1.2212	279.26591	0.95273	4279.6144	11.9527	0.8533299	54.817986	2.793872	10.788236	14.16028	1.532789	101.276168
ANGPTL1	ANGPTL1	1.723582	6.076253	0.8545704	18.56021	1.63005	5.3045	0.560934	0.719111	0.0850781	5.55162	7.43034	12.56897	0.736871	0.3473172	24.75224	2.208601	0.44692	0.593601
PRG4	PRG4	1.2466399	5.609978	0.439202	6.32572000017778	2.45736	2.199932	0.502069	33.237028	0.792352	5.44630499	2.0835060033872	0.670779	7.10121900326506	0.329678	1.585395	5.5189120206856	0.760451	16.664268
FILIP1	FILIP1	0.2438735	0.129066	0.3064579	0.1248313	0.130451	0.147169	0.0537017	0.0672063	0.0788452	0.3702342	0.545085	0.136417	1.550396	0.0681594	0.2514802	1.316423	0.0437365	0.609143
NR4A3	NR4A3	0.20212	0.1271356	0.726432	0.0622789	0.0441725	0.0287454	0.3557327	3.981503	0.2248348	1.515124	0.1390457	0.0745327	0.169342	0.1732541	0.0126748	0.188657	1.015346	0.789271
FMOD	FMOD	3.728688	11.93707	5.16743	5.4026588	2.035585	9.93498	6.71963	145.30899	0.572114	240.21162	1179.8203	42.39724	572.1603	0.7077	7.281334	130.44981	2.055391	24.624995
CHST3	CHST3	1.83334	1.07047	2.76624	3.3304	0.805163	1.0105	2.85279	5.875	0.959249	3.06796	14.3721	4.54461	14.0576	2.16328	1.07453	9.34503	1.8197	4.55345
NR4A1	NR4A1	3.94495880259845	4.30661907	21.150954	1.429046	0.84581120714751	0.818387	12.71609236	20.6927985	11.2010351	27.259375	1.824517	0.69808814	1.6350635898181	17.6448994	0.2293368	4.979404	21.779618	16.0108541
OBSL1	OBSL1	7.8135644	5.829792334053	9.928052	5.582437	4.3819545	9.01490566	9.6944016	6.8550334	7.791746	9.7090437	28.3767957	9.8893312	22.1475966	10.6337522	2.9005272	27.404014	8.8640325	11.7241325
TREM1	TREM1	1.8402756	34.961191	1.4160299	26.52185	42.7742967	16.8665027	2.358134	54.655655	0.0582421	85.902622	34.946498	3.033983	178.9430731	0.9710793	35.0165587	107.094289	1.361732	84.557621
COL21A1	COL21A1	0	6.09206	0.792908927	5.6294854	6.894902	0.2957461	1.712323	0.283414	2.930626	0	0.0578008	2.1730350216478	0.790871503	7.03802840065888	6.0071674	1.539031685023	0.15544712	2.24484140023199
EREG	EREG	2.368663	1.06563	0.1979618	0.1719148	0.2167479	0.692702	0.987948	2.865817	0.3182062	10.176594	0.587351	0.2691309	1.534778	0.917514	1.124782	2.181752	0.2403262	1.1532216
BMP2	BMP2	0.989563	2.70317	0.219347	2.56254	1.3681	1.60253	1.09005	21.3471	0.478278	6.28865	1.46361	1.5246	6.96637	0.123968	1.68324	3.7081	0.0722919	4.67858
GDF5	GDF5	18.88072	30.83815	18.54813	9.609633	11.967291	13.98362	20.37082	1.609971	101.0957	5.151721	21.24741	6.6771	15.44798	79.22952	30.23543	12.26091	34.33879	3.789982
FGF13	FGF13	0.4993774	0.6899247	0.1953448	0.3038801	0.224073	0.9629221	0.3368828	6.962761	1.8572667	2.702505	2.464857	2.1061781	13.6449088	4.8662577	0.761548	3.001838	0.0559121	1.723256
CDKN1C	CDKN1C	2.012522	3.3082960325653	5.160364	2.884723	1.41701	2.413391	1.446579	4.425838	6.169533	2.24412	62.469355	7.75506	36.019073	4.87609	2.63244	23.350086237175	7.588215	3.399207227
LBP	LBP	12.1332	6.44941	3.12489	0.0421857	0.952868	2.24075	45.0627	20.9641	2.44229	48.5768	3.9414	0.180307	8.40613	2.64668	1.45255	1.57236	3.1984	2.09914
MATN3	MATN3	0.965634	0.801973	0.862019	4.58158	0.675165	1.009243	0.303833	3.486263	0.125681	4.47476	280.2846	20.75109	150.821401	0.0439986	6.298784	94.3818	0.56007	1.470901
DCLK1	DCLK1	0.400238	3.749707	0.9646805	0.213891	0.7423236	0.3385994	1.8878913	4.45830035	1.60158521	1.682429	19.636329	1.3071781	21.597923	3.384986	5.2864637	1.7506829	0.4819193	0.8095592
NGF	NGF	8.974293	1.52070077803	7.152177	0	1.13896	3.0020971	12.99853	10.707701	9.106336	2.8428709	39.897694	0.869266	25.285198	7.033746	0.3264711	3.413283	3.6557654	3.1202213
STK26	STK26	6.88156	7.9428900538	3.4467073	10.281028	8.04721	14.7193500309795	4.950960107844	37.977893000538	9.775273869629	19.388926	156.518657	29.882061	94.04316	13.5930440549863	7.65404	37.0645638422	3.2152610238712	22.030543446084
ANKRD6	ANKRD6	1.417234	1.4795497	1.02923	0.732094	0.7627249	2.44196130182064	2.9788538055531	30.5750526	0.2833454	98.092677	80.445381815699	9.35027201538	90.336917	0.3697441	0.4084593	45.43623987	0.5736	9.74915600469067
DYSF	DYSF	0.52258200199234	0.0204819	0.42415624334	0.44999150473272	0.022008	0.3545619182041	0	1.064592	0.185222	5.15333527754	0.77861718928	1.023435	4.1422005639	0.0648118	0.236564	1.3601757	0.8345534	1.0014643
KLF4	KLF4	7.825032	1.946996	7.092623	2.76689402547774	0.961989	1.218045	6.75007	19.114726	5.455672	12.22872	5.90036	1.8517441	9.844837	5.924462	1.949519	8.715233	5.2509857	8.003429
ANGPTL2	ANGPTL2	31.69983	14.515947	32.22315	25.32345	16.124113	29.06018	37.87374	33.473	26.57643	134.01724	226.3215	33.68421	131.9386	29.62147	12.097100000138	133.5589	25.491638	49.18069
IER3	IER3	173.0125	27.26262	56.8888	6.24617	8.98821	15.04674	73.0913	143.2154	83.3761	92.9084	8.67546	4.408948	28.90164	78.0362	8.82215	7.70129	72.3486	17.05816
LOXL4	LOXL4	51.5615	2.21817	17.1961	0.807463	0.414512	0.748543	12.7236	0.265857	9.74435	0.966983	4.60831	1.94993	9.2481	13.1373	0.790917	5.70756	23.4201	0.6193
RBP4	RBP4	10.227145	9.12872	0.530107	9.33909	1.487529	22.359383	13.250369	84.541900911734	2.597165	113.8187	466.456700034543	231.148900142507	76.87126964	5.030778	8.5178300394287	39.874763	0.315452	26.192759717
HAPLN1	HAPLN1	46.39725	5.859666	226.916093	56.4320290135168	40.77861	80.160104	90.081212	383.8018	320.12446	387.273020060488	2787.95879	457.41458	1263.32822	237.616479	16.728534	693.57337	301.49797	260.750056
SHC3	SHC3	0.1864349	3.542819	0.30517	4.485533	1.332379	2.22955	0	0.97663	0.480576	1.024681	0.4902132	3.329745	2.008967	0.420401	7.91008	0.609694	0.326876	1.167374
PAMR1	PAMR1	7.642601478	0.920804	47.982620373639	7.62795100179301	3.68212	8.287949	28.063447	6.811315	51.890797	16.80386	124.904808	30.67542	19.56422	75.505949	0.53589361	66.2237863	29.12628	33.703825
LYPD1	LYPD1	6.01108	5.6821	6.429532	6.97371	3.83424	5.096119	7.32834	0.798641	21.03695	1.667242	0.221404	1.647835	0.0951796	9.87532	5.0853	2.156709	4.19052	4.623226
NR4A2	NR4A2	16.394872	5.922921349266	18.347110249282	0.548121	1.746222	1.838409	15.707598	56.93839	8.245427	30.277349	3.215875	0.770347	6.95283800934364	14.045552	2.191387	5.2530241	13.906608	21.550236
S100B	S100B	0.846619	0.4350305	4.17036	5.30638	1.5925939	0.18295726344	2.92965	2.18631	0.41682	9.79026	100.677038	3.845923	41.635033	0.16203	0.566365	55.24081	0.948509	13.628766
ATF3	ATF3	56.6404222	6.897755	65.228462	0.8188316027572	6.708535	3.95944	21.878867	64.036605	21.663050139257	9.711988	1.26617	0.1219042	5.42178370096701	24.854999	1.31668459	5.702692	137.264065	18.42612
FRZB	FRZB	0.594174	1.18288	1.43573	25.4344	1.58877	0.676731	0.881588	19.9846	0.388981	4.04324	7.19167	3.82408	31.4358	0.38281	2.22319	113.164	0.8268	22.3369
PPM1L	PPM1L	0.1220495	0.300778	0.486694	0.154077	0.185912	0.0128511	0.496632	0.0800986	0.077605	0.100547	0.0678979	0.2619961	0.125562	0.2488777	0.684303	0.0140669	0.1135848	0.156754
CXCL5	CXCL5	1.4837	8.27203	0.303646	0.347313	1.76512	40.0585	2.65036	1.79671	0.604601	220.388	9.81922	1.07929	3.3639	1.22394	0.946589	2.41104	0.163597	1.27585
ZC3H12A	ZC3H12A	3.192044	1.22808	3.153128	0.586751	0.516359	1.428092	1.88362	3.337889	1.32786	22.733279	1.42837	0.620991	0.596525	3.824539	0.456361	1.01078	1.87205	1.54711
MELTF	MELTF	1.169166	0.9054107	2.4232882	1.110964	0.4913415	6.366424	1.5457906	2.332327	5.0650401	6.987043	25.34386	12.443937	21.174283	3.254716	1.6851066	14.631807	0.3043091	3.6948501
TLR3	TLR3	8.678990078491	8.57402	4.33628	4.381297	3.42575	2.57047	5.011762	0.489384	2.5465056891	3.002731	0.12691149	2.83434	1.093536	2.570799	53.751572	0.235723	2.911694	2.894589
CKB	CKB	23.710401	24.622288	13.355643	33.754899	5.873015	21.6007767	16.009280826	35.5152209	8.095997	26.068646	343.722877	118.635790293351	141.143439	11.628186	18.090339351869	160.16333379375	8.699972	11.28698
LDLRAD4	LDLRAD4	1.5653729	1.067231376	0.074992605466	0.689085491097	0.378114515004	1.6549481	0.4271990396	1.160363216	0.1577974	0.82833616318	18.2886717094894	5.7523019205	13.0267198024	0.05381281	1.3547589209	5.566756656	0.88688977666	0.48252142154
REPS2	REPS2	0.1044814	3.018572	0.2034418	4.862387	1.060877	0.4307723	0.1409779	0.1644645	0.147672	0.119897	0.1582484	0.3504551	0.6989313	0.15031215	13.9334376	0.3545958	0.148889	0.896685
P2RY6	P2RY6	6.6308788	0.241497	6.943832	0.280895	0.2387808	0.3740388	11.099331	0.1621465	24.960363	0.9990414	2.98510806209	0.148671	0.9990743	25.94232	0.158486	0.9043173	4.432355	0.6825899
CSPG4	CSPG4	0.102307	0.283522	0.258174	0.299011	0.0546854	0.628735	0.281742	0.416837	0.739881	1.61662	5.46236	1.36969	2.58675	1.03814	0.148912	1.20819	0.0946707	0.21588
KCTD12	KCTD12	6.42692	8.58393	4.64231	10.9168	7.48389	20.3658	18.5286	6.08046	3.94027	3.49884	11.9977	32.9924	6.5248	8.96535	13.097	5.27317	2.29244	4.91821
PENK	PENK	2640.1892	870.127435	177.830134	112.573273	78.880268	120.702298	447.53641	1367.012513	593.59025	124.696319	1527.53358	222.875698	4892.79106	522.474828	240.89964	775.76055	191.75764	222.679557
SLX1B	SLX1B	16.66675	8.931271	16.322023076	6.388958	5.5685653	12.60098515	14.0725500067697	5.8615027397955	17.0424765	16.499246	9.8916855	8.5743713201	11.2921029	14.0695686	4.2684418	9.649668435925	17.7638465	10.1555715
PMCH	PMCH	4.66101	1.04722	1.45081	9.57711	5.85397	0.728729	3.13343	32.978	0.321593	5.18146	3.55638	1.81492	16.0424	0.417659	0.386968	28.7362	0.318294	35.0198
BMP8A	BMP8A	0.532086	0.54905	0.0327852	2.83571	0.163587	1.02395	0.138379	1.28171	0.0802471	1.05312	11.5444	6.54482	6.85422	0.0796068	0.431669	17.8619	0.367714	0.358549
OAF	OAF	2.196674	1.035407	1.63639	3.046666	0.466473	1.7299634	4.225182	4.494532	2.58621	2.201	13.17602	1.948775	11.40404	2.987408	0.851519	8.750626	1.947742	1.98391
SLC38A3	SLC38A3	0	0.21419	1.00367	5.3177696	0.8089291	8.786731	1.195913	1.810799	0.4653917	16.313258	94.52101	22.771214	37.087412	1.270516	1.4642695	41.095087	1.004332	3.163124
PRELP	PRELP	11.2672	210.612	1.84407	8.8923	3.37963	61.4182	12.9145	524.804	0.946144	684.506	1019.35	108.694	1435.48	1.92595	209.79	160.617	0.682732	48.858
SERPINA3	SERPINA3	0.1265703	1.86589	0.22813255	1.8495802	2.42732488	1.2004095	2.289477	354.487021	0	317.4151354	318.558626	0.90839276	457.350962	0.6043835	0.252906353	132.211612	0	149.006316
CD55	CD55	11.0973433967202	24.99905447	18.5864917	14.769427	17.598865	16.9383658	16.91603386	148.616566585	17.68449	229.8430709884	29.275969	18.0576407	57.009103	21.282957	11.9028380008174	34.39774	12.3043791	33.45663411582
LAMA2	LAMA2	2.394573351465	56.95072239	2.66051925	54.1651725254	34.2964000056714	3.433540227946	7.69790494276	14.8396400059951	3.040586751359	3.21232886	2.513874	11.19275685945	14.27749248	0.9703790396998	71.14729167651	6.59350945	3.05068783609	15.635726011525
ADH1B	ADH1B	0.2537947	18.402067271	1.32806368	26.700494588	0.54088796	0.797448	0.05075446	0	0.171075301474	0.05489111	0.48562318	1.9931969	0.2493986	0.02888722	269.683516	0.07143225	0.2211926	0.04228818
COL27A1	COL27A1	4.658716	6.719627	2.9889214	1.8549337	4.262513	6.193923	2.8753081	8.444324	2.2025552	8.934002	19.715464	5.2761619	18.131723	3.0477158	2.1139974	11.822895	2.7154562	7.6423036
NMB	NMB	35.16526	27.0724	117.4992	50.6566	45.6673	7.7409	117.1738	292.0027	13.71767	63.4299	19.63422	7.78123	101.8917	14.10642	30.97211	132.0497	20.87119	326.1186
CCDC152	CCDC152	5.18708	15.206468	3.822007	18.5888072	7.575394	2.7515223	3.708528	0.4252587	9.6994618	1.03938	0.585332	7.69889	0.8330405	8.67516	33.10343	0.99609	5.4027614	1.4276177
TGM2	TGM2	41.470521	8.231238	167.884849	2.016234	4.281222	5.591658	126.046666	12.114297	39.961451	55.618284	14.390865	1.595655	18.187599	52.485078	1.3045161	12.496709	85.244127	12.487338
PCOTH	PCOTH	0.659333	1.879395	2.56216	4.21711	1.395259	5.58986	1.66053	1.02626	6.28548	0.491567	1.63709	7.7421	0.279071	5.23557	2.816086	0.192833	5.2069	2.684559
ZNF469	ZNF469	0.0901779	0.0252008	0.0260488	0.0210994	0.0433255	0.0687234	0.0701192	0.060207	0.0683686	0.106902	0.39984	0.0541088	0.262773	0.0478463	0.0139712	0.271778	0.0961057	0.0473636
SCIRT	SCIRT	1.440931	1.835917	1.64982	0.5034056	2.03239	1.032429	0.938761	3.571728	2.107364	4.026064	4.463303	0.2660468	3.270299	1.405094	0.320537	2.035796	0.3934666	5.738991
ENSG00000248751	ENSG00000248751	0.189781	0.736337	0.68775700925837	1.454275	0.330184	2.348296	1.15313	0	0.878753	0.74857	0.403701	1.435655	0	0.261305	1.100515	0	0.598895	0.5873898
ENSG00000250697	ENSG00000250697	1.23753	0.387836	0.9142743	0.3663462	0.2461266	0.0722866	3.45154170563	3.12911	1.486013	0.3097831	9.092961	0.246628	5.499476	0.8267999	0.3677752	1.8388697	0.848102	2.719028
SELENOP	SELENOP	77.3795824	195.29556	56.244772	272.253056	111.347340895396	50.1089418	68.532358	6.877529	145.7876962	16.63719	9.3311619	97.74499	17.1761253	120.90734	478.9278019	16.41867	83.774925	15.413303
ENSG00000257607	ENSG00000257607	1.161	0.229348	0.321817	0.805212	0.0359062	0.0152755	1.40561	1.05165	0.0220816	1.97401	0	0.205181	1.57861	0.00248069	0	0.0233258	0.776767	1.41389
IER3-AS1	IER3-AS1	77.5909	9.7756	34.8592	3.14458	2.2231	6.42713	35.8956	63.8671	33.2679	36.3084	8.13465	4.15621	9.85402	31.9669	3.61858	4.94101	35.1136	9.67205
ENSG00000288698	ENSG00000288698	0.298872	0.326327	0.285149	0.27278	0.414339	0.191192	5.799001	2.905691	0.615811	4.92743	0.250902	0	0.666558	4.225583	0.145341	0.335748	0	3.687992
